otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,0.0,0.0,0.0,0.0,0.0,0.0,,,
ARI,2.0,2.0,4.0,9.0,10.0,19.0,4.75,4.5,5.0
BOS,1.0,1.0,2.0,2.0,5.0,7.0,3.5,2.0,5.0
BUF,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
CAR,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
CBJ,1.0,1.0,2.0,6.0,9.0,15.0,7.5,6.0,9.0
CGY,2.0,2.0,4.0,10.0,12.0,22.0,5.5,5.0,6.0
CHI,1.0,2.0,3.0,3.0,11.0,14.0,4.666666666666667,3.0,5.5
COL,1.0,2.0,3.0,6.0,14.0,20.0,6.666666666666667,6.0,7.0
DAL,2.0,1.0,3.0,7.0,2.0,9.0,3.0,3.5,2.0
DET,1.0,1.0,2.0,8.0,2.0,10.0,5.0,8.0,2.0
EDM,2.0,2.0,4.0,6.0,9.0,15.0,3.75,3.0,4.5
FLA,1.0,1.0,2.0,8.0,4.0,12.0,6.0,8.0,4.0
LAK,3.0,2.0,5.0,10.0,12.0,22.0,4.4,3.3333333333333335,6.0
MIN,2.0,1.0,3.0,6.0,4.0,10.0,3.3333333333333335,3.0,4.0
MTL,1.0,1.0,2.0,10.0,8.0,18.0,9.0,10.0,8.0
NJD,1.0,1.0,2.0,5.0,2.0,7.0,3.5,5.0,2.0
NSH,1.0,2.0,3.0,4.0,9.0,13.0,4.333333333333333,4.0,4.5
NYI,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
NYR,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
OTT,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
PHI,1.0,1.0,2.0,6.0,9.0,15.0,7.5,6.0,9.0
PIT,1.0,1.0,2.0,7.0,3.0,10.0,5.0,7.0,3.0
SJS,2.0,2.0,4.0,7.0,6.0,13.0,3.25,3.5,3.0
STL,1.0,2.0,3.0,1.0,8.0,9.0,3.0,1.0,4.0
TBL,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
TOR,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
VAN,2.0,2.0,4.0,8.0,6.0,14.0,3.5,4.0,3.0
VEG,2.0,2.0,4.0,6.0,7.0,13.0,3.25,3.0,3.5
WPG,2.0,1.0,3.0,6.0,2.0,8.0,2.6666666666666665,3.0,2.0
WSH,1.0,1.0,2.0,4.0,1.0,5.0,2.5,4.0,1.0
