otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,3.0,0.0,3.0,1.5,3.0,0.0
ARI,1.0,1.0,2.0,0.0,3.0,3.0,1.5,0.0,3.0
BOS,0.0,0.0,0.0,0.0,0.0,0.0,,,
BUF,2.0,2.0,4.0,3.0,7.0,10.0,2.5,1.5,3.5
CAR,2.0,1.0,3.0,5.0,5.0,10.0,3.3333333333333335,2.5,5.0
CBJ,2.0,1.0,3.0,10.0,10.0,20.0,6.666666666666667,5.0,10.0
CGY,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
CHI,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
COL,1.0,1.0,2.0,1.0,7.0,8.0,4.0,1.0,7.0
DAL,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
DET,2.0,2.0,4.0,9.0,6.0,15.0,3.75,4.5,3.0
EDM,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
FLA,2.0,2.0,4.0,8.0,6.0,14.0,3.5,4.0,3.0
LAK,1.0,1.0,2.0,3.0,6.0,9.0,4.5,3.0,6.0
MIN,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
MTL,2.0,2.0,4.0,6.0,6.0,12.0,3.0,3.0,3.0
NJD,1.0,2.0,3.0,4.0,13.0,17.0,5.666666666666667,4.0,6.5
NSH,1.0,1.0,2.0,8.0,3.0,11.0,5.5,8.0,3.0
NYI,1.0,2.0,3.0,7.0,7.0,14.0,4.666666666666667,7.0,3.5
NYR,1.0,2.0,3.0,5.0,5.0,10.0,3.3333333333333335,5.0,2.5
OTT,2.0,2.0,4.0,6.0,6.0,12.0,3.0,3.0,3.0
PHI,1.0,2.0,3.0,4.0,9.0,13.0,4.333333333333333,4.0,4.5
PIT,2.0,1.0,3.0,8.0,3.0,11.0,3.6666666666666665,4.0,3.0
SJS,1.0,1.0,2.0,6.0,5.0,11.0,5.5,6.0,5.0
STL,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
TBL,2.0,2.0,4.0,15.0,8.0,23.0,5.75,7.5,4.0
TOR,2.0,2.0,4.0,9.0,8.0,17.0,4.25,4.5,4.0
VAN,1.0,1.0,2.0,8.0,1.0,9.0,4.5,8.0,1.0
VEG,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
WPG,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0
WSH,2.0,1.0,3.0,8.0,5.0,13.0,4.333333333333333,4.0,5.0
