otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
ARI,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
BOS,2.0,2.0,4.0,7.0,7.0,14.0,3.5,3.5,3.5
BUF,0.0,0.0,0.0,0.0,0.0,0.0,,,
CAR,2.0,1.0,3.0,7.0,4.0,11.0,3.6666666666666665,3.5,4.0
CBJ,2.0,1.0,3.0,4.0,2.0,6.0,2.0,2.0,2.0
CGY,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
CHI,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
COL,1.0,1.0,2.0,6.0,7.0,13.0,6.5,6.0,7.0
DAL,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
DET,2.0,2.0,4.0,8.0,8.0,16.0,4.0,4.0,4.0
EDM,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
FLA,2.0,2.0,4.0,17.0,11.0,28.0,7.0,8.5,5.5
LAK,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
MIN,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
MTL,2.0,2.0,4.0,6.0,4.0,10.0,2.5,3.0,2.0
NJD,2.0,1.0,3.0,5.0,2.0,7.0,2.3333333333333335,2.5,2.0
NSH,1.0,1.0,2.0,0.0,4.0,4.0,2.0,0.0,4.0
NYI,1.0,2.0,3.0,3.0,6.0,9.0,3.0,3.0,3.0
NYR,1.0,2.0,3.0,3.0,8.0,11.0,3.6666666666666665,3.0,4.0
OTT,2.0,2.0,4.0,4.0,9.0,13.0,3.25,2.0,4.5
PHI,1.0,2.0,3.0,5.0,6.0,11.0,3.6666666666666665,5.0,3.0
PIT,1.0,2.0,3.0,2.0,15.0,17.0,5.666666666666667,2.0,7.5
SJS,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
STL,1.0,1.0,2.0,1.0,5.0,6.0,3.0,1.0,5.0
TBL,2.0,2.0,4.0,8.0,4.0,12.0,3.0,4.0,2.0
TOR,2.0,2.0,4.0,7.0,4.0,11.0,2.75,3.5,2.0
VAN,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
VEG,1.0,1.0,2.0,2.0,5.0,7.0,3.5,2.0,5.0
WPG,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
WSH,2.0,1.0,3.0,3.0,1.0,4.0,1.3333333333333333,1.5,1.0
