otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
ARI,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
BOS,1.0,2.0,3.0,5.0,11.0,16.0,5.333333333333333,5.0,5.5
BUF,1.0,2.0,3.0,1.0,4.0,5.0,1.6666666666666667,1.0,2.0
CAR,2.0,2.0,4.0,2.0,5.0,7.0,1.75,1.0,2.5
CBJ,0.0,0.0,0.0,0.0,0.0,0.0,,,
CGY,1.0,1.0,2.0,1.0,2.0,3.0,1.5,1.0,2.0
CHI,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
COL,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
DAL,1.0,1.0,2.0,5.0,0.0,5.0,2.5,5.0,0.0
DET,2.0,1.0,3.0,5.0,0.0,5.0,1.6666666666666667,2.5,0.0
EDM,1.0,1.0,2.0,6.0,3.0,9.0,4.5,6.0,3.0
FLA,2.0,1.0,3.0,9.0,3.0,12.0,4.0,4.5,3.0
LAK,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
MIN,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
MTL,1.0,2.0,3.0,2.0,5.0,7.0,2.3333333333333335,2.0,2.5
NJD,2.0,2.0,4.0,3.0,5.0,8.0,2.0,1.5,2.5
NSH,1.0,1.0,2.0,4.0,7.0,11.0,5.5,4.0,7.0
NYI,2.0,2.0,4.0,7.0,7.0,14.0,3.5,3.5,3.5
NYR,2.0,2.0,4.0,8.0,9.0,17.0,4.25,4.0,4.5
OTT,2.0,1.0,3.0,4.0,1.0,5.0,1.6666666666666667,2.0,1.0
PHI,2.0,2.0,4.0,5.0,8.0,13.0,3.25,2.5,4.0
PIT,2.0,2.0,4.0,3.0,14.0,17.0,4.25,1.5,7.0
SJS,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
STL,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
TBL,2.0,1.0,3.0,7.0,3.0,10.0,3.3333333333333335,3.5,3.0
TOR,1.0,2.0,3.0,2.0,5.0,7.0,2.3333333333333335,2.0,2.5
VAN,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0
VEG,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
WPG,1.0,1.0,2.0,6.0,1.0,7.0,3.5,6.0,1.0
WSH,2.0,2.0,4.0,5.0,6.0,11.0,2.75,2.5,3.0
