otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,1.0,3.0,7.0,3.0,10.0,3.3333333333333335,3.5,3.0
ARI,1.0,2.0,3.0,1.0,12.0,13.0,4.333333333333333,1.0,6.0
BOS,1.0,1.0,2.0,1.0,6.0,7.0,3.5,1.0,6.0
BUF,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
CAR,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
CBJ,1.0,1.0,2.0,4.0,1.0,5.0,2.5,4.0,1.0
CGY,1.0,2.0,3.0,5.0,3.0,8.0,2.6666666666666665,5.0,1.5
CHI,0.0,0.0,0.0,0.0,0.0,0.0,,,
COL,2.0,2.0,4.0,6.0,9.0,15.0,3.75,3.0,4.5
DAL,2.0,2.0,4.0,4.0,10.0,14.0,3.5,2.0,5.0
DET,1.0,1.0,2.0,4.0,1.0,5.0,2.5,4.0,1.0
EDM,2.0,1.0,3.0,3.0,2.0,5.0,1.6666666666666667,1.5,2.0
FLA,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
LAK,2.0,1.0,3.0,4.0,2.0,6.0,2.0,2.0,2.0
MIN,3.0,2.0,5.0,12.0,7.0,19.0,3.8,4.0,3.5
MTL,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
NJD,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
NSH,2.0,2.0,4.0,12.0,6.0,18.0,4.5,6.0,3.0
NYI,1.0,1.0,2.0,6.0,2.0,8.0,4.0,6.0,2.0
NYR,1.0,1.0,2.0,2.0,6.0,8.0,4.0,2.0,6.0
OTT,1.0,1.0,2.0,1.0,5.0,6.0,3.0,1.0,5.0
PHI,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
PIT,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
SJS,2.0,1.0,3.0,4.0,1.0,5.0,1.6666666666666667,2.0,1.0
STL,2.0,2.0,4.0,5.0,8.0,13.0,3.25,2.5,4.0
TBL,1.0,1.0,2.0,2.0,6.0,8.0,4.0,2.0,6.0
TOR,1.0,1.0,2.0,4.0,6.0,10.0,5.0,4.0,6.0
VAN,1.0,2.0,3.0,2.0,6.0,8.0,2.6666666666666665,2.0,3.0
VEG,1.0,2.0,3.0,3.0,12.0,15.0,5.0,3.0,6.0
WPG,2.0,3.0,5.0,4.0,10.0,14.0,2.8,2.0,3.3333333333333335
WSH,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
