otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,1.0,3.0,4.0,4.0,8.0,2.6666666666666665,2.0,4.0
ARI,2.0,1.0,3.0,12.0,10.0,22.0,7.333333333333333,6.0,10.0
BOS,1.0,1.0,2.0,6.0,4.0,10.0,5.0,6.0,4.0
BUF,1.0,1.0,2.0,4.0,6.0,10.0,5.0,4.0,6.0
CAR,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
CBJ,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
CGY,2.0,1.0,3.0,12.0,6.0,18.0,6.0,6.0,6.0
CHI,2.0,2.0,4.0,7.0,6.0,13.0,3.25,3.5,3.0
COL,0.0,0.0,0.0,0.0,0.0,0.0,,,
DAL,3.0,2.0,5.0,8.0,12.0,20.0,4.0,2.6666666666666665,6.0
DET,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
EDM,1.0,2.0,3.0,1.0,5.0,6.0,2.0,1.0,2.5
FLA,1.0,1.0,2.0,1.0,4.0,5.0,2.5,1.0,4.0
LAK,1.0,2.0,3.0,2.0,7.0,9.0,3.0,2.0,3.5
MIN,2.0,2.0,4.0,11.0,8.0,19.0,4.75,5.5,4.0
MTL,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
NJD,1.0,1.0,2.0,6.0,4.0,10.0,5.0,6.0,4.0
NSH,2.0,2.0,4.0,8.0,10.0,18.0,4.5,4.0,5.0
NYI,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
NYR,1.0,1.0,2.0,1.0,8.0,9.0,4.5,1.0,8.0
OTT,1.0,1.0,2.0,2.0,7.0,9.0,4.5,2.0,7.0
PHI,1.0,1.0,2.0,2.0,6.0,8.0,4.0,2.0,6.0
PIT,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
SJS,2.0,1.0,3.0,9.0,2.0,11.0,3.6666666666666665,4.5,2.0
STL,2.0,3.0,5.0,5.0,8.0,13.0,2.6,2.5,2.6666666666666665
TBL,1.0,1.0,2.0,5.0,5.0,10.0,5.0,5.0,5.0
TOR,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
VAN,1.0,2.0,3.0,2.0,8.0,10.0,3.3333333333333335,2.0,4.0
VEG,1.0,2.0,3.0,1.0,10.0,11.0,3.6666666666666665,1.0,5.0
WPG,2.0,2.0,4.0,10.0,8.0,18.0,4.5,5.0,4.0
WSH,1.0,1.0,2.0,9.0,1.0,10.0,5.0,9.0,1.0
