otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
ARI,1.0,1.0,2.0,2.0,7.0,9.0,4.5,2.0,7.0
BOS,2.0,2.0,4.0,6.0,8.0,14.0,3.5,3.0,4.0
BUF,2.0,2.0,4.0,5.0,9.0,14.0,3.5,2.5,4.5
CAR,2.0,1.0,3.0,7.0,2.0,9.0,3.0,3.5,2.0
CBJ,1.0,2.0,3.0,2.0,7.0,9.0,3.0,2.0,3.5
CGY,1.0,1.0,2.0,13.0,3.0,16.0,8.0,13.0,3.0
CHI,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
COL,1.0,1.0,2.0,6.0,5.0,11.0,5.5,6.0,5.0
DAL,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
DET,0.0,0.0,0.0,0.0,0.0,0.0,,,
EDM,1.0,1.0,2.0,1.0,2.0,3.0,1.5,1.0,2.0
FLA,2.0,2.0,4.0,8.0,12.0,20.0,5.0,4.0,6.0
LAK,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
MIN,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
MTL,2.0,2.0,4.0,5.0,9.0,14.0,3.5,2.5,4.5
NJD,1.0,2.0,3.0,3.0,7.0,10.0,3.3333333333333335,3.0,3.5
NSH,1.0,1.0,2.0,1.0,6.0,7.0,3.5,1.0,6.0
NYI,1.0,2.0,3.0,2.0,7.0,9.0,3.0,2.0,3.5
NYR,1.0,2.0,3.0,4.0,4.0,8.0,2.6666666666666665,4.0,2.0
OTT,2.0,2.0,4.0,7.0,10.0,17.0,4.25,3.5,5.0
PHI,2.0,1.0,3.0,6.0,2.0,8.0,2.6666666666666665,3.0,2.0
PIT,2.0,1.0,3.0,4.0,5.0,9.0,3.0,2.0,5.0
SJS,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
STL,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
TBL,2.0,2.0,4.0,8.0,11.0,19.0,4.75,4.0,5.5
TOR,2.0,2.0,4.0,5.0,8.0,13.0,3.25,2.5,4.0
VAN,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
VEG,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
WPG,1.0,1.0,2.0,6.0,3.0,9.0,4.5,6.0,3.0
WSH,2.0,1.0,3.0,8.0,3.0,11.0,3.6666666666666665,4.0,3.0
