otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,2.0,4.0,4.0,6.0,10.0,2.5,2.0,3.0
ARI,2.0,2.0,4.0,8.0,5.0,13.0,3.25,4.0,2.5
BOS,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
BUF,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
CAR,1.0,1.0,2.0,5.0,2.0,7.0,3.5,5.0,2.0
CBJ,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
CGY,2.0,3.0,5.0,12.0,16.0,28.0,5.6,6.0,5.333333333333333
CHI,1.0,2.0,3.0,3.0,8.0,11.0,3.6666666666666665,3.0,4.0
COL,2.0,1.0,3.0,2.0,3.0,5.0,1.6666666666666667,1.0,3.0
DAL,1.0,2.0,3.0,6.0,15.0,21.0,7.0,6.0,7.5
DET,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
EDM,0.0,0.0,0.0,0.0,0.0,0.0,,,
FLA,1.0,1.0,2.0,4.0,8.0,12.0,6.0,4.0,8.0
LAK,2.0,2.0,4.0,5.0,7.0,12.0,3.0,2.5,3.5
MIN,1.0,2.0,3.0,4.0,6.0,10.0,3.3333333333333335,4.0,3.0
MTL,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
NJD,1.0,1.0,2.0,1.0,4.0,5.0,2.5,1.0,4.0
NSH,2.0,1.0,3.0,7.0,3.0,10.0,3.3333333333333335,3.5,3.0
NYI,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
NYR,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
OTT,1.0,1.0,2.0,8.0,2.0,10.0,5.0,8.0,2.0
PHI,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
PIT,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
SJS,2.0,2.0,4.0,6.0,5.0,11.0,2.75,3.0,2.5
STL,2.0,1.0,3.0,10.0,4.0,14.0,4.666666666666667,5.0,4.0
TBL,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
TOR,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
VAN,2.0,2.0,4.0,7.0,9.0,16.0,4.0,3.5,4.5
VEG,2.0,2.0,4.0,7.0,10.0,17.0,4.25,3.5,5.0
WPG,2.0,1.0,3.0,7.0,4.0,11.0,3.6666666666666665,3.5,4.0
WSH,1.0,1.0,2.0,1.0,6.0,7.0,3.5,1.0,6.0
