otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,3.0,5.0,10.0,10.0,20.0,4.0,5.0,3.3333333333333335
ARI,2.0,2.0,4.0,6.0,5.0,11.0,2.75,3.0,2.5
BOS,1.0,1.0,2.0,5.0,3.0,8.0,4.0,5.0,3.0
BUF,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
CAR,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
CBJ,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
CGY,2.0,2.0,4.0,10.0,10.0,20.0,5.0,5.0,5.0
CHI,1.0,2.0,3.0,5.0,5.0,10.0,3.3333333333333335,5.0,2.5
COL,2.0,1.0,3.0,7.0,3.0,10.0,3.3333333333333335,3.5,3.0
DAL,2.0,1.0,3.0,2.0,4.0,6.0,2.0,1.0,4.0
DET,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
EDM,2.0,2.0,4.0,6.0,6.0,12.0,3.0,3.0,3.0
FLA,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
LAK,0.0,0.0,0.0,0.0,0.0,0.0,,,
MIN,2.0,1.0,3.0,6.0,2.0,8.0,2.6666666666666665,3.0,2.0
MTL,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
NJD,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
NSH,2.0,1.0,3.0,10.0,3.0,13.0,4.333333333333333,5.0,3.0
NYI,1.0,1.0,2.0,2.0,6.0,8.0,4.0,2.0,6.0
NYR,1.0,1.0,2.0,6.0,3.0,9.0,4.5,6.0,3.0
OTT,1.0,1.0,2.0,4.0,1.0,5.0,2.5,4.0,1.0
PHI,1.0,1.0,2.0,5.0,7.0,12.0,6.0,5.0,7.0
PIT,1.0,1.0,2.0,6.0,4.0,10.0,5.0,6.0,4.0
SJS,2.0,2.0,4.0,5.0,13.0,18.0,4.5,2.5,6.5
STL,1.0,2.0,3.0,4.0,7.0,11.0,3.6666666666666665,4.0,3.5
TBL,1.0,1.0,2.0,7.0,5.0,12.0,6.0,7.0,5.0
TOR,1.0,1.0,2.0,5.0,9.0,14.0,7.0,5.0,9.0
VAN,2.0,2.0,4.0,8.0,8.0,16.0,4.0,4.0,4.0
VEG,2.0,2.0,4.0,10.0,5.0,15.0,3.75,5.0,2.5
WPG,1.0,2.0,3.0,4.0,9.0,13.0,4.333333333333333,4.0,4.5
WSH,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
