otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
ARI,1.0,1.0,2.0,5.0,2.0,7.0,3.5,5.0,2.0
BOS,2.0,1.0,3.0,9.0,4.0,13.0,4.333333333333333,4.5,4.0
BUF,1.0,2.0,3.0,3.0,9.0,12.0,4.0,3.0,4.5
CAR,2.0,2.0,4.0,6.0,5.0,11.0,2.75,3.0,2.5
CBJ,2.0,2.0,4.0,5.0,12.0,17.0,4.25,2.5,6.0
CGY,1.0,1.0,2.0,0.0,3.0,3.0,1.5,0.0,3.0
CHI,1.0,1.0,2.0,6.0,4.0,10.0,5.0,6.0,4.0
COL,1.0,1.0,2.0,5.0,5.0,10.0,5.0,5.0,5.0
DAL,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
DET,2.0,1.0,3.0,7.0,2.0,9.0,3.0,3.5,2.0
EDM,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
FLA,2.0,1.0,3.0,10.0,3.0,13.0,4.333333333333333,5.0,3.0
LAK,1.0,1.0,2.0,4.0,6.0,10.0,5.0,4.0,6.0
MIN,1.0,1.0,2.0,2.0,6.0,8.0,4.0,2.0,6.0
MTL,1.0,2.0,3.0,3.0,7.0,10.0,3.3333333333333335,3.0,3.5
NJD,0.0,0.0,0.0,0.0,0.0,0.0,,,
NSH,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
NYI,2.0,2.0,4.0,4.0,6.0,10.0,2.5,2.0,3.0
NYR,2.0,2.0,4.0,6.0,8.0,14.0,3.5,3.0,4.0
OTT,1.0,2.0,3.0,2.0,12.0,14.0,4.666666666666667,2.0,6.0
PHI,2.0,2.0,4.0,8.0,11.0,19.0,4.75,4.0,5.5
PIT,2.0,2.0,4.0,6.0,6.0,12.0,3.0,3.0,3.0
SJS,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
STL,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
TBL,1.0,1.0,2.0,5.0,7.0,12.0,6.0,5.0,7.0
TOR,1.0,2.0,3.0,2.0,12.0,14.0,4.666666666666667,2.0,6.0
VAN,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
VEG,1.0,1.0,2.0,2.0,5.0,7.0,3.5,2.0,5.0
WPG,1.0,1.0,2.0,1.0,0.0,1.0,0.5,1.0,0.0
WSH,2.0,2.0,4.0,14.0,6.0,20.0,5.0,7.0,3.0
