otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
ARI,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
BOS,2.0,2.0,4.0,6.0,9.0,15.0,3.75,3.0,4.5
BUF,2.0,2.0,4.0,6.0,5.0,11.0,2.75,3.0,2.5
CAR,1.0,2.0,3.0,1.0,5.0,6.0,2.0,1.0,2.5
CBJ,1.0,2.0,3.0,5.0,4.0,9.0,3.0,5.0,2.0
CGY,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
CHI,1.0,1.0,2.0,7.0,2.0,9.0,4.5,7.0,2.0
COL,1.0,1.0,2.0,5.0,2.0,7.0,3.5,5.0,2.0
DAL,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
DET,2.0,2.0,4.0,7.0,6.0,13.0,3.25,3.5,3.0
EDM,1.0,1.0,2.0,5.0,5.0,10.0,5.0,5.0,5.0
FLA,2.0,2.0,4.0,3.0,7.0,10.0,2.5,1.5,3.5
LAK,1.0,1.0,2.0,2.0,1.0,3.0,1.5,2.0,1.0
MIN,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
MTL,2.0,2.0,4.0,10.0,5.0,15.0,3.75,5.0,2.5
NJD,2.0,1.0,3.0,11.0,3.0,14.0,4.666666666666667,5.5,3.0
NSH,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
NYI,2.0,1.0,3.0,8.0,3.0,11.0,3.6666666666666665,4.0,3.0
NYR,2.0,1.0,3.0,3.0,3.0,6.0,2.0,1.5,3.0
OTT,0.0,0.0,0.0,0.0,0.0,0.0,,,
PHI,2.0,1.0,3.0,7.0,6.0,13.0,4.333333333333333,3.5,6.0
PIT,1.0,2.0,3.0,2.0,7.0,9.0,3.0,2.0,3.5
SJS,1.0,1.0,2.0,3.0,10.0,13.0,6.5,3.0,10.0
STL,1.0,1.0,2.0,5.0,3.0,8.0,4.0,5.0,3.0
TBL,2.0,2.0,4.0,10.0,10.0,20.0,5.0,5.0,5.0
TOR,2.0,2.0,4.0,6.0,8.0,14.0,3.5,3.0,4.0
VAN,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
VEG,1.0,1.0,2.0,6.0,2.0,8.0,4.0,6.0,2.0
WPG,1.0,1.0,2.0,5.0,5.0,10.0,5.0,5.0,5.0
WSH,1.0,2.0,3.0,1.0,5.0,6.0,2.0,1.0,2.5
