otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,6.0,3.0,9.0,4.5,6.0,3.0
ARI,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
BOS,2.0,1.0,3.0,6.0,3.0,9.0,3.0,3.0,3.0
BUF,2.0,1.0,3.0,5.0,2.0,7.0,2.3333333333333335,2.5,2.0
CAR,2.0,2.0,4.0,5.0,5.0,10.0,2.5,2.5,2.5
CBJ,2.0,2.0,4.0,3.0,4.0,7.0,1.75,1.5,2.0
CGY,1.0,1.0,2.0,6.0,2.0,8.0,4.0,6.0,2.0
CHI,1.0,1.0,2.0,5.0,5.0,10.0,5.0,5.0,5.0
COL,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
DAL,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
DET,1.0,2.0,3.0,3.0,3.0,6.0,2.0,3.0,1.5
EDM,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
FLA,1.0,2.0,3.0,7.0,13.0,20.0,6.666666666666667,7.0,6.5
LAK,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
MIN,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0
MTL,2.0,1.0,3.0,5.0,3.0,8.0,2.6666666666666665,2.5,3.0
NJD,2.0,2.0,4.0,10.0,14.0,24.0,6.0,5.0,7.0
NSH,1.0,1.0,2.0,2.0,5.0,7.0,3.5,2.0,5.0
NYI,2.0,2.0,4.0,10.0,11.0,21.0,5.25,5.0,5.5
NYR,2.0,2.0,4.0,5.0,5.0,10.0,2.5,2.5,2.5
OTT,1.0,2.0,3.0,5.0,8.0,13.0,4.333333333333333,5.0,4.0
PHI,0.0,0.0,0.0,0.0,0.0,0.0,,,
PIT,2.0,2.0,4.0,8.0,7.0,15.0,3.75,4.0,3.5
SJS,1.0,1.0,2.0,6.0,6.0,12.0,6.0,6.0,6.0
STL,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0
TBL,1.0,2.0,3.0,2.0,5.0,7.0,2.3333333333333335,2.0,2.5
TOR,2.0,1.0,3.0,3.0,3.0,6.0,2.0,1.5,3.0
VAN,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
VEG,1.0,1.0,2.0,2.0,1.0,3.0,1.5,2.0,1.0
WPG,1.0,1.0,2.0,4.0,7.0,11.0,5.5,4.0,7.0
WSH,2.0,2.0,4.0,8.0,8.0,16.0,4.0,4.0,4.0
