otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
ARI,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0
BOS,1.0,2.0,3.0,2.0,10.0,12.0,4.0,2.0,5.0
BUF,2.0,1.0,3.0,11.0,5.0,16.0,5.333333333333333,5.5,5.0
CAR,2.0,2.0,4.0,5.0,5.0,10.0,2.5,2.5,2.5
CBJ,2.0,2.0,4.0,13.0,5.0,18.0,4.5,6.5,2.5
CGY,1.0,1.0,2.0,3.0,4.0,7.0,3.5,3.0,4.0
CHI,1.0,1.0,2.0,6.0,8.0,14.0,7.0,6.0,8.0
COL,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
DAL,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
DET,1.0,2.0,3.0,7.0,3.0,10.0,3.3333333333333335,7.0,1.5
EDM,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
FLA,1.0,2.0,3.0,5.0,7.0,12.0,4.0,5.0,3.5
LAK,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
MIN,1.0,1.0,2.0,5.0,4.0,9.0,4.5,5.0,4.0
MTL,2.0,1.0,3.0,5.0,1.0,6.0,2.0,2.5,1.0
NJD,2.0,2.0,4.0,5.0,9.0,14.0,3.5,2.5,4.5
NSH,1.0,1.0,2.0,11.0,7.0,18.0,9.0,11.0,7.0
NYI,2.0,2.0,4.0,6.0,10.0,16.0,4.0,3.0,5.0
NYR,2.0,2.0,4.0,5.0,10.0,15.0,3.75,2.5,5.0
OTT,2.0,1.0,3.0,7.0,3.0,10.0,3.3333333333333335,3.5,3.0
PHI,2.0,2.0,4.0,7.0,11.0,18.0,4.5,3.5,5.5
PIT,0.0,0.0,0.0,0.0,0.0,0.0,,,
SJS,1.0,1.0,2.0,6.0,4.0,10.0,5.0,6.0,4.0
STL,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
TBL,1.0,2.0,3.0,5.0,12.0,17.0,5.666666666666667,5.0,6.0
TOR,2.0,1.0,3.0,3.0,3.0,6.0,2.0,1.5,3.0
VAN,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
VEG,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
WPG,1.0,1.0,2.0,3.0,7.0,10.0,5.0,3.0,7.0
WSH,2.0,2.0,4.0,12.0,11.0,23.0,5.75,6.0,5.5
