otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,2.0,4.0,3.0,6.0,9.0,2.25,1.5,3.0
ARI,2.0,2.0,4.0,4.0,5.0,9.0,2.25,2.0,2.5
BOS,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
BUF,1.0,1.0,2.0,3.0,5.0,8.0,4.0,3.0,5.0
CAR,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
CBJ,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
CGY,2.0,2.0,4.0,11.0,5.0,16.0,4.0,5.5,2.5
CHI,1.0,2.0,3.0,1.0,4.0,5.0,1.6666666666666667,1.0,2.0
COL,1.0,2.0,3.0,1.0,6.0,7.0,2.3333333333333335,1.0,3.0
DAL,2.0,1.0,3.0,1.0,4.0,5.0,1.6666666666666667,0.5,4.0
DET,1.0,1.0,2.0,2.0,3.0,5.0,2.5,2.0,3.0
EDM,2.0,2.0,4.0,6.0,4.0,10.0,2.5,3.0,2.0
FLA,1.0,1.0,2.0,1.0,2.0,3.0,1.5,1.0,2.0
LAK,2.0,2.0,4.0,12.0,6.0,18.0,4.5,6.0,3.0
MIN,2.0,1.0,3.0,4.0,3.0,7.0,2.3333333333333335,2.0,3.0
MTL,1.0,1.0,2.0,6.0,5.0,11.0,5.5,6.0,5.0
NJD,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
NSH,1.0,2.0,3.0,8.0,7.0,15.0,5.0,8.0,3.5
NYI,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
NYR,1.0,1.0,2.0,4.0,6.0,10.0,5.0,4.0,6.0
OTT,1.0,1.0,2.0,6.0,2.0,8.0,4.0,6.0,2.0
PHI,1.0,1.0,2.0,5.0,3.0,8.0,4.0,5.0,3.0
PIT,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
SJS,0.0,0.0,0.0,0.0,0.0,0.0,,,
STL,1.0,2.0,3.0,1.0,4.0,5.0,1.6666666666666667,1.0,2.0
TBL,1.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,2.0
TOR,1.0,1.0,2.0,0.0,4.0,4.0,2.0,0.0,4.0
VAN,3.0,2.0,5.0,12.0,7.0,19.0,3.8,4.0,3.5
VEG,2.0,2.0,4.0,7.0,10.0,17.0,4.25,3.5,5.0
WPG,2.0,1.0,3.0,7.0,4.0,11.0,3.6666666666666665,3.5,4.0
WSH,1.0,1.0,2.0,0.0,12.0,12.0,6.0,0.0,12.0
