otherteam,homegames,awaygames,ngames,homepenalties,awaypenalties,totalpenalties,normalizedpenalties,normalizedhomepenalties,normalizedawaypenalties
ANA,2.0,2.0,4.0,5.0,14.0,19.0,4.75,2.5,7.0
ARI,2.0,2.0,4.0,5.0,8.0,13.0,3.25,2.5,4.0
BOS,1.0,1.0,2.0,6.0,9.0,15.0,7.5,6.0,9.0
BUF,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
CAR,1.0,1.0,2.0,2.0,5.0,7.0,3.5,2.0,5.0
CBJ,1.0,1.0,2.0,3.0,2.0,5.0,2.5,3.0,2.0
CGY,2.0,2.0,4.0,14.0,8.0,22.0,5.5,7.0,4.0
CHI,2.0,1.0,3.0,10.0,6.0,16.0,5.333333333333333,5.0,6.0
COL,2.0,1.0,3.0,11.0,5.0,16.0,5.333333333333333,5.5,5.0
DAL,1.0,2.0,3.0,5.0,4.0,9.0,3.0,5.0,2.0
DET,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0
EDM,2.0,2.0,4.0,8.0,5.0,13.0,3.25,4.0,2.5
FLA,1.0,1.0,2.0,4.0,4.0,8.0,4.0,4.0,4.0
LAK,2.0,2.0,4.0,7.0,10.0,17.0,4.25,3.5,5.0
MIN,1.0,2.0,3.0,2.0,5.0,7.0,2.3333333333333335,2.0,2.5
MTL,1.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0
NJD,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0
NSH,2.0,1.0,3.0,9.0,4.0,13.0,4.333333333333333,4.5,4.0
NYI,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
NYR,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
OTT,1.0,1.0,2.0,3.0,6.0,9.0,4.5,3.0,6.0
PHI,1.0,1.0,2.0,6.0,2.0,8.0,4.0,6.0,2.0
PIT,1.0,1.0,2.0,4.0,5.0,9.0,4.5,4.0,5.0
SJS,2.0,3.0,5.0,8.0,13.0,21.0,4.2,4.0,4.333333333333333
STL,2.0,1.0,3.0,6.0,3.0,9.0,3.0,3.0,3.0
TBL,1.0,1.0,2.0,5.0,3.0,8.0,4.0,5.0,3.0
TOR,1.0,1.0,2.0,2.0,4.0,6.0,3.0,2.0,4.0
VAN,0.0,0.0,0.0,0.0,0.0,0.0,,,
VEG,2.0,2.0,4.0,4.0,5.0,9.0,2.25,2.0,2.5
WPG,1.0,2.0,3.0,2.0,5.0,7.0,2.3333333333333335,2.0,2.5
WSH,1.0,1.0,2.0,4.0,3.0,7.0,3.5,4.0,3.0
